trace_id,T,K,gt_step,gt_agent,pred_step,pred_agent,step_hit,agent_hit,joint_hit,omd_converged,init_argmax,final_argmax
0,7,3,1,Verification_Expert,1,Verification_Expert,1,1,1,0,1,1
1,10,3,3,DataVerification_Expert,3,DataVerification_Expert,1,1,1,0,3,3
2,10,3,0,WebServing_Expert,0,WebServing_Expert,1,1,1,1,0,0
3,7,3,1,Probability_Expert,2,Computer_terminal,0,0,0,0,2,2
4,10,3,0,YouTubeDownload_Expert,6,ResultVerification_Expert,0,0,0,0,6,6
5,10,3,5,PythonProgramming_Expert,2,PythonProgramming_Expert,0,1,0,0,2,2
6,9,3,2,ProblemSolving_Expert,2,ProblemSolving_Expert,1,1,1,0,2,2
7,8,3,0,Geometry_Expert,4,VerificationExpert,0,0,0,0,0,4
8,6,3,1,Tizin_Translation_Expert,0,TizinGrammar_Expert,0,0,0,1,0,0
9,10,3,1,Narration_Expert,4,Verification_Expert,0,0,0,1,4,4
10,5,3,0,TextExtraction_Expert,3,DataManipulation_Expert,0,0,0,0,3,3
11,10,3,8,AnimalBehavior_Expert,6,BirdSpeciesIdentification_Expert,0,0,0,0,6,6
12,10,3,3,Paintball_Expert,5,Geospatial_Expert,0,0,0,0,5,5
13,7,3,4,Marathon_Expert,1,Verification_Expert,0,0,0,0,4,1
14,8,3,1,Literary_Analysis_Expert,0,NorseMythology_Expert,0,0,0,1,0,0
15,10,3,5,ScientificPaperAnalysis_Expert,4,ScientificPaperAnalysis_Expert,0,1,0,0,4,4
16,10,3,8,DataAnalysis_Expert,8,Computer_terminal,1,0,0,0,8,8
17,10,3,5,AcademicPublication_Expert,5,AcademicPublication_Expert,1,1,1,0,5,5
18,10,3,3,BingAPI_Expert,3,BingAPI_Expert,1,1,1,0,3,3
19,10,3,5,Validation_Expert,0,AlgorithmDesign_Expert,0,0,0,0,0,0
20,10,3,4,Statistics_Expert,0,Statistics_Expert,0,1,0,1,0,0
21,10,3,1,Statistics_Expert,3,Verification_Expert,0,0,0,0,3,3
22,9,3,3,Verification_Expert,6,Computer_terminal,0,0,0,0,1,6
23,6,3,1,Cubing_Expert,1,Cubing_Expert,1,1,1,0,1,1
24,10,3,3,DataAnalysis_Expert,5,Verification_Expert,0,0,0,0,5,5
25,7,3,2,Verification_Expert,1,AnalyticalReasoning_Expert,0,0,0,1,1,1
26,10,3,5,Validation_Expert,8,Computer_terminal,0,0,0,0,8,8
27,6,3,0,Lyrics_Expert,1,Lyrics_Expert,0,1,0,0,1,1
28,10,3,1,Filmography_Expert,1,IMDB_Ratings_Expert,1,0,0,1,1,1
29,7,3,1,Verification_Expert,4,Computer_terminal,0,0,0,0,4,4
30,6,3,1,Mesopotamian_Number_Systems_Expert,2,Mesopotamian_Number_Systems_Expert,0,1,0,0,2,2
31,10,3,5,Validation_Expert,0,Validation_Expert,0,1,0,1,0,0
32,10,3,1,Verification_Expert,9,Grocery_Expert,0,0,0,0,1,9
33,6,3,0,PythonDebugging_Expert,5,PythonDebugging_Expert,0,1,0,0,5,5
34,10,3,0,PythonDebugging_Expert,3,PythonDebugging_Expert,0,1,0,0,3,3
35,10,3,5,MartialArts_Expert,2,NYC_Local_Expert,0,0,0,0,2,2
36,9,3,7,Chess_Expert,7,Chess_Expert,1,1,1,0,7,7
37,9,3,7,Reviews_Expert,3,Verification_Expert,0,0,0,0,3,3
38,8,3,6,Verification_Expert,5,Local_Knowledge_Expert,0,0,0,0,5,5
39,9,3,3,WomenInComputerScienceHistory_Expert,3,WomenInComputerScienceHistory_Expert,1,1,1,1,3,3
40,10,3,1,DataExtraction_Expert,1,DataExtraction_Expert,1,1,1,0,1,1
41,10,3,0,FinancialData_Expert,4,Verification_Expert,0,0,0,0,4,4
42,10,3,4,Verification_Expert,7,Verification_Expert,0,1,0,0,1,7
43,7,3,3,Culinary_Expert,4,AudioProcessing_Expert,0,0,0,1,4,4
44,10,3,3,Verification_Expert,6,Verification_Expert,0,1,0,0,6,6
45,10,3,8,Validation_Expert,8,Validation_Expert,1,1,1,0,8,8
46,6,3,1,BiblicalScholar_Expert,1,BiblicalScholar_Expert,1,1,1,0,1,1
47,6,3,0,PythonDebugging_Expert,0,PythonDebugging_Expert,1,1,1,0,0,0
48,10,3,1,DataVerification_Expert,4,MarioKart8Deluxe_Expert,0,0,0,0,4,4
49,10,3,0,PythonDebugging_Expert,4,,0,0,0,0,7,4
50,10,3,4,HistoricalWeatherData_Expert,6,Statistics_Expert,0,0,0,0,6,6
51,6,3,0,Excel_Expert,4,DataVerification_Expert,0,0,0,0,4,4
52,9,3,6,BenAndJerrysFlavors_Expert,3,WebServing_Expert,0,0,0,0,3,3
53,6,3,4,FilmCritic_Expert,4,JamesBondFilms_Expert,1,0,0,0,4,4
54,10,3,8,Research_Expert,4,Research_Expert,0,1,0,0,4,4
55,10,3,8,Corporate_Governance_Expert,4,Corporate_Governance_Expert,0,1,0,1,4,4
56,10,3,3,DataAnalysis_Expert,9,Financial_Expert,0,0,0,0,9,9
57,10,3,6,InformationVerification_Expert,5,Computer_terminal,0,0,0,0,5,5
58,7,3,1,Behavioral_Expert,1,Behavioral_Expert,1,1,1,0,1,1
59,10,3,1,VideoContentAnalysis_Expert,0,VideoContentAnalysis_Expert,0,1,0,0,0,0
60,7,3,2,Verification_Expert,3,Computer_terminal,0,0,0,0,3,3
61,7,3,0,Library_Database_Expert,6,Library_Database_Expert,0,1,0,0,6,6
62,10,3,5,Federico_Lauria_Expert,3,Federico_Lauria_Expert,0,1,0,0,3,3
63,10,3,8,DataVerification_Expert,8,DataVerification_Expert,1,1,1,0,8,8
64,5,3,1,Verification_Expert,1,Verification_Expert,1,1,1,0,1,1
65,5,3,1,Verification_Expert,1,Verification_Expert,1,1,1,0,1,1
66,5,3,1,PublicationData_Expert,2,Computer_terminal,0,0,0,0,2,2
67,10,3,1,SpeciesSightingsData_Expert,1,SpeciesSightingsData_Expert,1,1,1,0,1,1
68,6,3,1,VideoContentAnalysis_Expert,5,VideoContentAnalysis_Expert,0,1,0,0,5,5
69,7,3,1,VideoAnalysis_Expert,1,Validation_Expert,1,0,0,0,1,1
70,10,3,0,PythonDebugging_Expert,4,PythonDebugging_Expert,0,1,0,0,4,4
71,8,3,6,Verification_Expert,1,Bioinformatics_Expert,0,0,0,0,1,1
72,10,3,2,Validation_Expert,9,Computer_terminal,0,0,0,0,9,9
73,10,3,8,Verification_Expert,0,DataAnalysis_Expert,0,0,0,1,0,0
74,10,3,6,Geometry_Expert,3,Geometry_Expert,0,1,0,0,0,3
75,9,3,5,Verification_Expert,3,DataCollection_Expert,0,0,0,0,3,3
76,6,3,0,DataAnalysis_Expert,0,DataAnalysis_Expert,1,1,1,0,0,0
77,10,3,4,ModelEvaluation_Interpretation_Expert,6,ModelEvaluation_Interpretation_Expert,0,1,0,1,6,6
78,10,3,8,API_Expert,3,API_Expert,0,1,0,1,3,3
79,10,3,1,MilitaryHistory_Expert,9,Whitney_Collection_Expert,0,0,0,0,9,9
80,10,3,8,InformationExtraction_Expert,3,DOI_Expert,0,0,0,0,3,3
81,10,3,1,WebDevelopment_Expert,0,Web_Design_Expert,0,0,0,0,0,0
82,10,3,4,ArtHistory_Expert,4,ArtHistory_Expert,1,1,1,0,4,4
83,10,3,0,ISBNCheckDigit_Expert,0,ISBNCheckDigit_Expert,1,1,1,0,0,0
84,10,3,3,WebServing_Expert,3,Validation_Expert,1,0,0,0,3,3
85,8,3,5,CorporateHistory_IPOs_MondayCom_Expert,5,CorporateHistory_IPOs_MondayCom_Expert,1,1,1,0,5,5
86,10,3,8,Blu-Ray_Expert,9,,0,0,0,0,9,9
87,7,3,3,Verification_Expert,5,WebServing_Expert,0,0,0,0,5,5
88,9,3,1,Music_Critic_Expert,4,MusicHistorian_Expert,0,0,0,0,4,4
89,8,3,4,Verification_Expert,4,Verification_Expert,1,1,1,0,4,4
90,8,3,4,Locomotive_Expert,4,Locomotive_Expert,1,1,1,0,4,4
91,10,3,5,MusicTheory_Expert,5,Verification_Expert,1,0,0,0,5,5
92,10,3,4,AlgorithmDesign_Expert,7,Computer_terminal,0,0,0,0,4,7
93,7,3,1,Data_Collection_Expert,1,Data_Collection_Expert,1,1,1,0,1,1
94,6,3,0,PythonDebugging_Expert,0,PythonDebugging_Expert,1,1,1,0,0,0
95,10,3,1,DataExtraction_Expert,6,DataVerification_Expert,0,0,0,0,6,6
96,8,3,2,Tickets_Pricing_Expert,3,Tickets_Pricing_Expert,0,1,0,0,3,3
97,10,3,7,Poetry_Expert,7,Poetry_Expert,1,1,1,0,7,7
98,7,3,0,JSON_Expert,4,,0,0,0,0,4,4
99,6,3,2,Polish_TV_Series_Expert,2,Polish_TV_Series_Expert,1,1,1,0,2,2
100,8,3,2,HawaiiRealEstate_Expert,2,HawaiiRealEstate_Expert,1,1,1,0,2,2
101,8,3,0,PythonDebugging_Expert,4,Verification_Expert,0,0,0,0,4,4
102,10,3,1,WaybackMachine_Expert,7,Verification_Expert,0,0,0,0,3,7
103,7,3,1,Debugging_Expert,6,Verification_Expert,0,0,0,0,6,6
104,10,3,1,Data_Retrieval_Expert,2,,0,0,0,0,2,2
105,10,3,5,WebServing_Expert,0,WebServing_Expert,0,1,0,0,0,0
106,10,3,2,Culinary_Awards_Expert,7,Ali_Khan_Shows_and_New_Mexican_Cuisine_Expert,0,0,0,0,7,7
107,9,3,0,DataAnalysis_Expert,6,Computer_terminal,0,0,0,0,6,6
108,6,3,1,Verification_Expert,2,Computer_terminal,0,0,0,0,2,2
109,10,3,6,Boggle_Board_Expert,4,Boggle_Board_Expert,0,1,0,0,4,4
110,10,3,5,Clinical_Trial_Data_Analysis_Expert,5,Clinical_Trial_Data_Analysis_Expert,1,1,1,0,5,5
111,10,3,9,Neurology_Expert,9,Neurology_Expert,1,1,1,0,9,9
112,10,3,8,Vegan_Food_Expert,9,Verification_Expert,0,0,0,0,9,9
113,10,3,2,WikipediaHistory_Expert,7,WikipediaHistory_Expert,0,1,0,0,7,7
114,9,3,5,DataVerification_Expert,6,Geography_Expert,0,0,0,0,6,6
115,9,3,3,DataVerification_Expert,2,DataVerification_Expert,0,1,0,0,2,2
116,10,3,1,GIS_DataAnalysis_Expert,1,AquaticEcosystems_InvasiveSpecies_Expert,1,0,0,0,1,1
117,10,3,7,DataAnalysis_Expert,7,DataAnalysis_Expert,1,1,1,0,7,7
118,10,3,0,Debugging_Problem_Solving_Expert,0,Debugging_Problem_Solving_Expert,1,1,1,0,0,0
119,6,3,1,Verification_Expert,1,Verification_Expert,1,1,1,1,1,1
120,10,3,2,Movie_Expert,2,Movie_Expert,1,1,1,0,2,2
121,10,3,3,Church_Historian_Expert,9,Church_Historian_Expert,0,1,0,0,9,9
122,10,3,4,MerriamWebsterWordOfTheDay_Historian_Expert,8,Verification_Expert,0,0,0,0,8,8
123,7,3,2,Research_Expert,3,Literature_Expert,0,0,0,0,3,3
124,5,3,1,GameTheory_Expert,2,VerificationExpert,0,0,0,0,2,2
125,10,3,8,WebServing_Expert,0,WebServing_Expert,0,1,0,1,0,0
